Site,ID,Latitude,Longitude,Elevation,Region,RegionRank,lambda_slope,offset_1215,offset_2011,offset_2012,offset_2013,offset_2014,offset_4.5,offset_8.5,offset_4.5_old,offset_8.5_old,offset_8.5_peakbf2_grain,offset_4.5_peakbf2,offset_8.5_peakbf2
SweetwaterRiver,1,32.89913,-116.5865,1386,S1,1,0.8351132207001415,0.03464759886264801,0.017659159377217293,0.026065103709697723,0.01583731174468994,0.06169140711426735,0.056214381009340286,0.04166125878691673,210.31932067871094,0.06819899380207062,0.09048226475715637,0.009959940798580647,0.01081242598593235
MillCreek,2,34.07808,-116.8756,1992,S2,2,0.18542584388463815,0.05459535866975784,0.009195620194077492,0.05147901922464371,0.044401686638593674,0.07692635804414749,0.06467054784297943,0.05348045006394386,179.8534393310547,0.06716715544462204,0.09194951504468918,0.0066045611165463924,0.011762052774429321
WestForkMojaveRiver,3,34.28425,-117.3754,1087,S2,2,0.1097061233428572,0.048740945756435394,0.03282732889056206,0.04458123445510864,0.03411408141255379,0.07656016945838928,0.06891204416751862,0.06715935468673706,83.81365203857422,0.06906124204397202,0.09422719478607178,0.012396234087646008,0.016604648903012276
SouthForkMiddleForkTule,4,36.13756,-118.5741,1664,C1,3,-0.2723625444999999,0.07006055861711502,0.022809423506259918,0.06314193457365036,0.07498767226934433,0.0896567553281784,0.06645370274782181,0.04900381714105606,295.0039978027344,0.08419545739889145,0.11060058325529099,0.010021427646279335,0.020471664145588875
NorthForkMiddleForkTule,5,36.20081,-118.6509,1284,C1,3,-0.21494059599999996,0.07562043517827988,0.022846853360533714,0.06559032946825027,0.07603643834590912,0.09531193971633911,0.07201167196035385,0.05106007680296898,293.29559326171875,0.08381231129169464,0.11019723862409592,0.022295193746685982,0.03191332146525383
RedwoodCreek,6,36.68952,-118.9096,1677,C1,3,-0.25960386600020213,0.07551420480012894,0.0280600693076849,0.05724629759788513,0.07558688521385193,0.09388527274131775,0.07106813788414001,0.05591588467359543,338.3569641113281,0.08470909297466278,0.11103131622076035,0.01206509955227375,0.0197502002120018
Wawona,7,37.53822,-119.6514,1208,C2,4,-0.06120234530000507,0.050139401108026505,0.02635103464126587,0.041283559054136276,0.059804901480674744,0.07710037380456924,0.05112116038799286,0.04117261990904808,208.51028442382812,0.0828213021159172,0.11560479551553726,0.030643707141280174,0.05637452378869057
BuckMeadows,8,37.77722,-120.0633,830,C2,4,0.36943438499999687,0.04975084215402603,0.0371786430478096,0.039204854518175125,0.06521934270858765,0.0729491114616394,0.05352085828781128,0.041158657521009445,124.10875701904297,0.08754827082157135,0.11448682844638824,0.039947815239429474,0.04933108016848564
Carlon,9,37.81006,-119.8568,1320,C2,4,-0.2699807939999544,0.05433931201696396,0.030229998752474785,0.04282824322581291,0.06162300333380699,0.07948938012123108,0.05896970257163048,0.0447014756500721,197.11868286132812,0.08131128549575806,0.10665251314640045,0.021493524312973022,0.031056271865963936
RainbowPool,10,37.81878,-120.0073,833,C2,4,0.05363578950002883,0.051970403641462326,0.0327427051961422,0.037187349051237106,0.06806734949350357,0.0725729689002037,0.05527087673544884,0.04203389212489128,143.7894287109375,0.0883122906088829,0.1117691919207573,0.04599778354167938,0.051661886274814606
OregonCreek,11,39.39704,-121.082,448,C3,5,-0.3406745289000368,0.05107719451189041,0.039899155497550964,0.03146077319979668,0.06779016554355621,0.06739427894353867,0.09278655052185059,0.03639201074838638,151.6402130126953,0.09551142901182175,0.11747670918703079,0.04816359654068947,0.05344279855489731
LittleNorthForkMiddleForkFeather,12,39.71209,-121.2748,510,C3,5,-0.01398327509999999,0.051449865102767944,0.043246082961559296,0.03280213102698326,0.06801512837409973,0.07085400819778442,0.09409122914075851,0.03869519382715225,177.72845458984375,0.08996333181858063,0.11247741430997849,0.017953980714082718,0.02854382060468197
LittleJamesonCreek,13,39.74298,-120.704,1592,C3,5,-0.00285701150000275,0.05294153094291687,0.029967090114951134,0.041512541472911835,0.06502722948789597,0.07419167459011078,0.07694894075393677,0.042409952729940414,171.7362518310547,0.08363500237464905,0.10860773921012878,0.011607427150011063,0.013606386259198189
DeepCreek,14,41.66546,-123.1134,694,N1,6,-0.07621610100001416,0.044372446835041046,0.05927865207195282,0.009494815953075886,0.02939962036907673,0.0745784193277359,0.07140237838029861,0.04227361083030701,33.325355529785156,0.07573601603507996,0.09778011590242386,0.031046444550156593,0.034126345068216324
O'NeilCreek,15,41.80979,-123.1189,487,N1,6,-0.04717901990005647,0.044022828340530396,0.028816258534789085,0.018346011638641357,0.04773210734128952,0.07534594088792801,0.07111916691064835,0.03674409165978432,86.341064453125,0.07581716030836105,0.09877055138349533,0.017071081325411797,0.02655864879488945
DeerCreek,16,42.27525,-123.64,387,N1,6,-6.6720598012001,0.03656435385346413,0.025096381083130836,0.017359783872961998,0.041897524148225784,0.07053181529045105,0.06869904696941376,0.03399195149540901,84.5842056274414,0.0766133964061737,0.0978693962097168,0.015527521260082722,0.019343912601470947
RockCreek,17,43.37876,-122.9521,295,N2,7,0.34540478750012515,0.03205066919326782,0.028241777792572975,0.014139664359390736,0.016046246513724327,0.05844094976782799,0.07049648463726044,0.036098480224609375,73.240936279296875,0.07683020830154419,0.09891653060913086,0.010856331326067448,0.015547235496342182
CantonCreek,18,43.4137,-122.7804,503,N2,7,-0.8681681333000003,0.03434327244758606,0.027713382616639137,0.01514479611068964,0.017481252551078796,0.058903492987155914,0.07340522855520248,0.03296882286667824,76.07474517822266,0.07950028777122498,0.10196888446807861,0.008945506066083908,0.01448379922658205
CoastForkofWilliamette,19,43.6517,-123.088,254,N2,7,-0.2002891357999999,0.024850623682141304,0.03535975515842438,0.013431784696877003,0.012479946948587894,0.05119352042675018,0.061384063214063644,0.028440747410058975,72.53723907470703,0.07491759955883026,0.09814654290676117,0.009494449011981487,0.013178928755223751
